Age,Male,Female
10,12.71755848,12.19804066
11,15.31882959,11.14480431
12,14.80828078,11.5492398
13,13.79374361,11.27644169
14,15.1563041,11.57290608
15,14.08618573,12.07773083
16,14.14899284,12.05743204
17,14.52252402,11.52444202
18,14.72700853,12.17955002
19,15.06937098,11.88290439
20,15.54678359,11.9706063
21,15.35553549,12.154899
22,13.9310354,12.87216572
23,14.75858456,11.53993652
24,14.40585863,11.33144796
25,13.75741299,11.6767482
26,13.55473991,10.86589134
27,14.20600947,12.30940229
28,14.43338593,11.05658778
29,14.23695595,11.36835332
30,14.57901144,11.59308516
31,14.20930217,11.6819727
32,14.83515694,11.10437056
33,13.86800458,11.14379534
34,14.69727962,10.92617701
35,14.41882586,11.43154581
36,14.93243589,11.24698996
37,14.64337821,11.36744745
38,14.08747718,10.83902968
39,14.30078212,10.86841979
40,13.97322957,10.55910387
41,13.77429855,11.64319291
42,13.74422644,10.49451032
43,13.43901028,10.99094463
44,13.76964425,11.38919111
45,13.99918242,10.07910989
46,13.53548874,10.35728875
47,13.48814393,10.26471741
48,13.19950979,9.892072974
49,12.483964,9.251517039
50,11.80999353,9.405773372
51,11.39804929,9.587943947
52,11.34669229,8.70090785
53,11.52182122,8.753963703
54,11.5293773,8.509072942
55,11.51526806,8.67510425
56,11.01234473,8.141524955
57,11.90926179,8.077697332
58,10.61854041,7.810594782
59,10.16663861,8.027137099
60,9.878731869,7.65333826
61,9.894726155,7.206744381
62,9.247996185,7.396091751
63,8.600109595,6.561303356
64,8.290707872,6.744014223
65,8.562868184,6.933382286
66,8.769725299,6.715994459
67,8.575955579,6.290775167
68,8.074389004,6.598821518
69,8.541652879,6.283987697
70,7.926831571,5.493000015
71,8.365911025,5.792566586
72,7.559046544,6.604397681
73,7.470177848,5.865390505
74,7.081321798,5.248951896
75,8.253478269,5.443443983
76,8.769881917,5.958590937
77,5.3970685,5.593611081
78,6.937203771,6.091358558
79,4.88599941,5.490092412
80,6.939381579,6.056422817
81,7.188198467,4.779490981
82,7.35020385,4.874898926
83,6.471204189,5.672535617
84,6.510857617,5.774881481
85,7.33796808,7.051458904
86,5.059387305,4.680947958
